,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer
0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,0
1,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,1
2,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,2
3,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,3
4,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,4
5,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,5
6,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,6
7,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,7
8,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,8
9,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,9
10,0.9902912621359223,1.0,1.0000000000000002,0.9900990099009901,1.0,0.9803921568627451,sentence_all,10
11,0.9902912621359223,1.0,1.0000000000000002,0.9900990099009901,1.0,0.9803921568627451,sentence_all,11
12,0.9805825242718447,1.0,1.0000000000000002,0.98,1.0,0.9607843137254902,sentence_all,12
13,0.9805825242718447,1.0,1.0000000000000002,0.98,1.0,0.9607843137254902,sentence_all,13
14,0.9805825242718447,1.0,1.0000000000000002,0.98,1.0,0.9607843137254902,sentence_all,14
15,0.9805825242718447,1.0,1.0000000000000002,0.98,1.0,0.9607843137254902,sentence_all,15
16,0.9805825242718447,1.0,1.0000000000000002,0.98,1.0,0.9607843137254902,sentence_all,16
17,0.9805825242718447,1.0,1.0000000000000002,0.98,1.0,0.9607843137254902,sentence_all,17
18,0.9805825242718447,1.0,1.0000000000000002,0.98,1.0,0.9607843137254902,sentence_all,18
19,0.9902912621359223,1.0,1.0000000000000002,0.9900990099009901,1.0,0.9803921568627451,sentence_all,19
20,0.9902912621359223,1.0,1.0000000000000002,0.9900990099009901,1.0,0.9803921568627451,sentence_all,20
21,0.9902912621359223,1.0,1.0000000000000002,0.9900990099009901,1.0,0.9803921568627451,sentence_all,21
22,0.9902912621359223,1.0,1.0000000000000002,0.9900990099009901,1.0,0.9803921568627451,sentence_all,22
23,0.9902912621359223,1.0,1.0000000000000002,0.9900990099009901,1.0,0.9803921568627451,sentence_all,23
24,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,24
25,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,25
26,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,26
27,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,27
28,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,28
29,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,29
30,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,30
31,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,31
32,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,32
33,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,33
34,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,34
35,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,35
36,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,36
0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,0
1,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,1
2,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,2
3,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,3
4,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,4
5,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,5
6,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,6
7,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,7
8,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,8
9,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,9
10,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,10
11,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,11
12,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,12
13,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,13
14,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,14
15,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,15
16,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,16
17,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,17
18,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,18
19,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,19
20,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,20
21,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,21
22,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,22
23,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,23
24,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,24
25,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,25
26,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,26
27,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,27
28,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,28
29,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,29
30,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,30
31,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,31
32,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,32
33,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,33
34,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,34
35,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,35
36,0.9902912621359223,1.0,1.0000000000000002,0.9900990099009901,1.0,0.9803921568627451,sentence_img,36
0,0.49514563106796117,0.579185520361991,0.6042584320613725,0.6623376623376623,0.49514563106796117,1.0,sentence_text,0
1,0.5339805825242718,0.5852187028657617,0.6166277264171326,0.5714285714285714,0.5245901639344263,0.6274509803921569,sentence_text,1
2,0.5436893203883495,0.5965309200603318,0.6387480108364711,0.5765765765765766,0.5333333333333333,0.6274509803921569,sentence_text,2
3,0.5631067961165048,0.5987933634992458,0.635941934664007,0.5871559633027523,0.5517241379310345,0.6274509803921569,sentence_text,3
4,0.5728155339805825,0.5935143288084465,0.6350932544650693,0.5686274509803921,0.5686274509803921,0.5686274509803921,sentence_text,4
5,0.5631067961165048,0.6199095022624435,0.6655193640599455,0.5631067961165048,0.5576923076923077,0.5686274509803921,sentence_text,5
6,0.5922330097087378,0.6187782805429863,0.6416593926210633,0.5882352941176471,0.5882352941176471,0.5882352941176471,sentence_text,6
7,0.5825242718446602,0.6161387631975866,0.6218932928638948,0.5742574257425742,0.58,0.5686274509803921,sentence_text,7
8,0.6116504854368932,0.6365007541478129,0.65868750292955,0.6078431372549019,0.6078431372549019,0.6078431372549019,sentence_text,8
9,0.6504854368932039,0.669683257918552,0.6995023711538362,0.6470588235294118,0.6470588235294118,0.6470588235294118,sentence_text,9
10,0.6796116504854369,0.7417043740573153,0.7725571020978282,0.6666666666666666,0.6875,0.6470588235294118,sentence_text,10
11,0.6990291262135923,0.7733785822021116,0.7988707156520681,0.6868686868686869,0.7083333333333334,0.6666666666666666,sentence_text,11
12,0.6699029126213593,0.7582956259426847,0.7841618325531583,0.6666666666666666,0.6666666666666666,0.6666666666666666,sentence_text,12
13,0.6893203883495146,0.7880844645550528,0.8081898090170266,0.6923076923076923,0.6792452830188679,0.7058823529411765,sentence_text,13
