,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over,idx_corrected,idx_main,outputwImg,predictionwImg,gold_referencewImg,tagwImg,outputwoImg,predictionwoImg,gold_referencewoImg,tagwoImg
0,22.876904,22.931097,23.261293,23.317245,23.452969,23.537502,23.724163,23.949825,24.440647,25.66146,27.295074,30.59022,36.08541,39.444103,42.559155,44.1781,48.8712,52.828133,56.884953,59.07596,57.148403,58.194496,56.74597,57.06956,58.48849,59.2342,60.140354,62.257732,62.617863,63.89233,68.17379,71.4008,75.9968,All tokens,81,337,"[INST]  
 QUESTION: Are there any ducks in this figure?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 1 ",1,0,figure,"[INST]  
 QUESTION: Are there any ducks in this figure?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 0 ",0,0,figure
1,21.150608,21.190432,21.385782,21.394012,21.44619,21.412199,21.41954,21.440903,21.554405,22.17044,23.401236,26.016909,32.119316,35.81935,42.83961,49.96897,58.122536,65.24928,75.41917,82.30324,87.167206,92.18842,92.04094,95.92367,98.55951,102.68002,108.24474,110.87639,114.696335,121.11662,127.91763,129.94368,116.148766,All tokens,14,56,"[INST]  
 QUESTION: According to the image, is the combined market share of Autel, FreeFly, Skydio, and Parrot greater than the market share of DJI alone in 2021?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 1 ",1,0,chart,"[INST]  
 QUESTION: According to the image, is the combined market share of Autel, FreeFly, Skydio, and Parrot greater than the market share of DJI alone in 2021?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 0 ",0,0,chart
2,26.345688,26.385849,26.563889,26.578028,26.658812,26.672821,26.747322,26.821476,27.019905,27.718906,28.974487,31.576391,38.016346,41.629097,48.618774,55.09263,63.48966,71.63912,82.08211,88.916275,92.11329,96.95208,97.938805,101.88275,105.86126,110.68089,115.85687,120.58358,124.23804,130.95384,139.3328,142.5925,125.73446,All tokens,3,17,"[INST]  
 QUESTION: From 2000-2050, is the population aged between 15 and 29 years in China the least in 2005?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 0 ",0,0,chart,"[INST]  
 QUESTION: From 2000-2050, is the population aged between 15 and 29 years in China the least in 2005?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 1 ",1,0,chart
3,15.650048,15.677777,15.830011,15.851043,15.914339,15.964395,16.037954,16.151026,16.422857,17.180471,18.243578,20.614378,25.283255,27.829378,33.201576,37.15576,41.56072,45.24836,50.168083,52.681828,51.04053,52.33961,51.51246,52.51532,53.27505,54.783463,55.361294,53.867622,54.5334,56.72793,61.10969,65.16987,73.19772,All tokens,35,165,"[INST]  
 QUESTION: Is the right orange circle larger than the left orange circle?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 0 ",0,0,illusion,"[INST]  
 QUESTION: Is the right orange circle larger than the left orange circle?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 1 ",1,0,illusion
4,17.100603,17.15652,17.554674,17.605303,17.725256,17.768705,17.874105,18.0347,18.22601,19.12171,20.285519,22.331715,26.707619,29.739319,34.367203,39.06296,44.35248,48.63488,54.469185,57.84058,59.99511,59.93058,59.826847,61.756958,62.316578,63.71867,64.99366,67.66593,69.768425,71.868286,74.30767,73.53998,60.42081,All tokens,31,148,"[INST]  
 QUESTION: Is the formula in this image representative of the Euler equation?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 1 ",1,1,ocr,"[INST]  
 QUESTION: Is the formula in this image representative of the Euler equation?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 0 ",0,1,ocr
5,54.416607,54.523705,55.004646,55.183105,55.49625,55.78598,56.31122,56.905655,57.923244,60.0873,63.171783,68.68785,79.08683,82.977234,89.215775,91.25924,100.80806,106.80511,116.3257,121.104324,124.56358,131.59554,136.19325,142.78738,151.48402,156.99371,167.02422,176.91032,183.35985,195.63577,210.879,216.97957,193.97961,All tokens,28,108,"[INST]  
 QUESTION: According to the map provided, is New Mexico state larger than Texas state?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 1 ",1,0,map,"[INST]  
 QUESTION: According to the map provided, is New Mexico state larger than Texas state?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 0 ",0,0,map
6,14.916367,14.940709,15.036731,15.046845,15.086143,15.087009,15.119779,15.190608,15.304637,15.78523,16.676914,18.73629,23.654045,26.791105,33.149998,39.042507,45.75286,52.152138,60.08953,66.504585,71.5317,75.86715,77.740875,80.74811,83.91127,86.785324,89.99679,93.37164,97.31924,103.240486,110.87449,107.94969,103.15639,All tokens,17,72,"[INST]  
 QUESTION: According to the table, in 2021, did Germany have the highest GDP?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 0 ",0,1,table,"[INST]  
 QUESTION: According to the table, in 2021, did Germany have the highest GDP?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 1 ",1,1,table
7,21.160929,21.200006,21.393288,21.395466,21.439491,21.394016,21.386984,21.384293,21.473598,22.060305,23.23616,25.779663,31.810999,35.44516,42.3862,49.428974,57.496742,64.58278,74.69272,81.54686,86.35379,91.34231,91.22695,95.086334,97.66059,101.78923,107.322876,109.89113,113.68607,120.073616,126.996574,129.09918,115.618576,All tokens,13,55,"[INST]  
 QUESTION: According to the image, does DJI hold more than 50% of the commercial drone brand market share in 2021?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 0 ",0,1,chart,"[INST]  
 QUESTION: According to the image, does DJI hold more than 50% of the commercial drone brand market share in 2021?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 1 ",1,1,chart
8,49.130684,49.232113,49.657974,49.8154,50.129856,50.507446,51.06177,51.909313,53.290985,55.775818,58.76298,63.76779,70.32703,75.024506,78.046265,78.21335,85.047195,90.50572,98.48467,102.95325,100.03969,106.02231,105.49904,108.808655,109.3483,107.80346,110.50159,115.255554,118.28698,122.766495,128.09868,129.66689,89.33139,All tokens,69,286,"[INST]  
 QUESTION: Does the image show ""Hot dry noodles from Wuhan""?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 1 ",1,1,ocr,"[INST]  
 QUESTION: Does the image show ""Hot dry noodles from Wuhan""?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 0 ",0,1,ocr
9,42.598583,42.693836,43.13797,43.29932,43.606155,43.933872,44.5155,45.343437,46.704357,49.069424,52.631283,58.44115,68.74935,75.38067,84.768684,93.237595,102.54996,110.42949,124.44032,133.94643,135.98308,143.49861,145.24149,150.28366,154.74026,159.57568,167.40982,172.15948,177.90202,187.70166,193.8595,193.43005,157.68884,All tokens,11,42,"[INST]  
 QUESTION: According to the image, were Asians the largest population group in the United States in 2020, with Whites and African Americans as the second and third largest groups, respectively?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 0 ",0,0,chart,"[INST]  
 QUESTION: According to the image, were Asians the largest population group in the United States in 2020, with Whites and African Americans as the second and third largest groups, respectively?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer:  [/INST] 1 ",1,0,chart
