,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over,idx_corrected,idx_main,outputwImg,predictionwImg,gold_referencewImg,tagwImg,outputwoImg,predictionwoImg,gold_referencewoImg,tagwoImg
0,37.480534,63.40419,72.446014,73.682625,78.986916,78.08769,81.7038,28.733088,32.56294,36.247356,35.01173,33.65339,35.401413,37.701035,40.65125,43.02355,46.80657,19.459871,23.018454,27.735062,35.367085,41.738197,48.052715,55.521873,64.716225,72.18154,79.449425,83.04756,87.498405,93.16369,100.67288,103.4589,108.20801,105.20692,103.3943,84.80115,89.74096,All tokens,28,69,"user
 QUESTION: In 2023, did Syria have higher population growth than South Sudan?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,1,table,"user
 QUESTION: In 2023, did Syria have higher population growth than South Sudan?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,1,table
1,43.186726,72.05358,80.04881,80.83428,84.34871,82.88224,81.32932,68.50416,73.72785,80.75805,80.22042,79.57219,81.01098,84.773285,87.68686,91.80954,98.61591,74.062454,81.32483,91.77986,99.374886,108.55399,116.49866,110.822,115.5558,121.14411,128.59145,132.98349,135.5719,136.28934,143.13524,146.65892,150.78555,142.46664,129.39346,102.83181,103.43118,All tokens,6,14,"user
 QUESTION: From 2000-2050, is the population aged between 15 and 29 years in China the most in 2030?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,chart,"user
 QUESTION: From 2000-2050, is the population aged between 15 and 29 years in China the most in 2030?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,chart
2,28.880636,56.69386,62.097424,62.649822,63.86279,63.136948,60.66308,52.396282,52.299606,56.195957,55.64217,55.937355,58.900528,61.783733,63.32744,67.565926,72.82969,48.13303,55.389206,64.00525,70.194595,78.89018,86.95206,85.56109,93.63626,102.26903,109.37869,114.31272,115.9974,118.25355,123.0013,126.71227,130.65292,131.86086,128.25208,129.15398,136.91147,All tokens,70,166,"user
 QUESTION: Is the right orange circle smaller than the left orange circle?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,illusion,"user
 QUESTION: Is the right orange circle smaller than the left orange circle?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,illusion
3,47.53579,78.66484,88.519424,89.20042,93.41359,91.16308,94.041115,16.685728,21.067963,25.085545,25.2783,24.88826,26.671053,28.79566,31.418016,33.512405,36.873985,8.654314,9.998636,11.904838,15.757975,19.51363,24.262783,31.389698,41.82463,52.751675,61.021492,69.35004,76.458466,84.93489,93.42522,98.06802,102.93396,103.35106,102.2778,82.5385,86.19775,All tokens,62,154,"user
 QUESTION: Is the text in this figure made at West Berlin?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,1,ocr,"user
 QUESTION: Is the text in this figure made at West Berlin?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,1,ocr
4,8.7632475,19.982676,23.248667,25.890688,28.82601,30.61902,36.106167,6.42659,6.9579654,7.567566,7.7406282,7.7426524,8.329913,8.850552,9.783498,10.489062,11.495443,11.607186,12.933113,15.188349,19.2871,22.145283,25.377256,32.035137,40.94839,45.760094,51.45669,54.697117,57.918327,57.74281,64.3033,68.9556,68.8947,67.94091,65.64205,55.734,47.856388,All tokens,57,145,"user
 QUESTION: According to the image, does the value of the square root of 2 range from 1.42 to 1.43?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,ocr,"user
 QUESTION: According to the image, does the value of the square root of 2 range from 1.42 to 1.43?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,ocr
5,53.88112,93.94413,106.93404,108.85864,115.02402,111.659775,113.41816,87.40825,90.79679,94.08459,90.43519,84.02659,84.49241,87.76777,89.30163,93.56646,100.35574,66.52061,73.70997,85.537674,95.89953,106.60164,114.4637,117.18388,122.44606,126.87,134.95271,140.08286,142.94542,145.82018,152.65277,157.70372,161.95963,153.72003,151.40033,121.153404,131.09712,All tokens,35,86,"user
 QUESTION: According to the table, does Shandong have the most dense population in China in 2020?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,table,"user
 QUESTION: According to the table, does Shandong have the most dense population in China in 2020?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,table
6,18.049723,35.2756,41.08111,42.528637,49.76705,53.75363,61.173977,5.5457873,6.301522,7.481747,7.568354,7.512931,8.096932,8.7942705,9.8840885,10.829572,11.964305,8.639308,10.162165,12.434701,16.754126,20.47432,23.88668,29.592882,37.65886,44.96017,50.207615,55.629997,59.047287,62.851616,65.21898,66.33239,65.85404,65.36472,63.512302,50.982685,48.269333,All tokens,26,66,"user
 QUESTION: According to the metal number chart of 2008 beijng olympic, does USA have the most gold metals, followed by China and Russia?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,table,"user
 QUESTION: According to the metal number chart of 2008 beijng olympic, does USA have the most gold metals, followed by China and Russia?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,table
7,51.011925,90.34537,103.01321,107.2601,114.68798,109.82894,112.38195,75.15265,81.38957,87.50091,85.23643,81.858925,82.58829,85.591415,88.11917,91.977806,97.230415,60.55034,67.75508,77.10459,87.51234,97.72581,105.6124,109.311905,117.2722,123.657295,129.67203,135.90923,136.87914,141.89452,148.57368,146.28351,150.80742,146.79753,142.31339,120.96552,136.36768,All tokens,22,58,"user
 QUESTION: According to the image, in 2017, did Apple generate higher revenue from video games compared to Google?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,1,chart,"user
 QUESTION: According to the image, in 2017, did Apple generate higher revenue from video games compared to Google?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,1,chart
8,23.381504,37.195778,40.15533,40.073944,43.61448,46.48864,50.439735,10.527818,11.5592575,12.805958,12.895605,13.306428,14.327051,15.840057,17.69508,19.005762,21.502676,8.259819,9.786594,11.713489,15.096325,18.348194,22.653143,27.688213,35.611435,43.110928,49.50227,56.30472,61.814114,68.40581,72.48285,75.9508,80.39995,81.163124,79.27644,66.64464,76.51503,All tokens,108,281,"user
 QUESTION: If angle B is equal to 45 degree, is AB larger than sqrt(2)AC? Please answer yes or no.
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,math,"user
 QUESTION: If angle B is equal to 45 degree, is AB larger than sqrt(2)AC? Please answer yes or no.
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,math
9,43.177288,72.06774,80.04682,80.8206,84.34874,82.84495,81.27299,68.41467,73.610954,80.6701,80.18374,79.49991,80.97757,84.72738,87.66324,91.76118,98.59105,74.03647,81.291016,91.74709,99.32485,108.706184,116.62037,110.88232,115.54173,121.05825,128.4922,132.92345,135.58313,136.3234,143.21014,146.74545,150.84273,142.48804,129.26468,102.567566,103.31254,All tokens,8,16,"user
 QUESTION: From 2000-2050, is the population aged between 15 and 29 years in China the least in 2000?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,chart,"user
 QUESTION: From 2000-2050, is the population aged between 15 and 29 years in China the least in 2000?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,chart
