,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over,idx_corrected,idx_main,outputwImg,predictionwImg,gold_referencewImg,tagwImg,outputwoImg,predictionwoImg,gold_referencewoImg,tagwoImg
0,59.18293,59.27418,59.67049,59.804375,60.085262,60.412773,60.94801,61.697502,62.51729,64.56064,66.214264,70.14722,73.64584,76.74824,75.37725,71.85636,77.69137,81.81931,88.38079,85.45782,83.843445,88.62066,90.89409,92.903625,95.372086,96.10391,99.75221,104.29028,107.56059,112.942375,120.2779,125.09668,127.57803,All tokens,327,686,"[INST]  
 QUESTION: Is the bench right of the bed?
OPTIONS:
0: yes
1: no

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 


Answer:  [/INST] 0 ",0,0,Spatial Relation,"[INST]  
 QUESTION: Is the bench right of the bed?
OPTIONS:
0: yes
1: no

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 


Answer:  [/INST] 1 ",1,0,Spatial Relation
1,69.557655,69.673744,70.178055,70.35758,70.71529,71.11199,71.85911,72.7884,74.31147,76.93337,80.11013,85.80407,89.5867,93.48315,91.26159,86.153534,94.75298,101.565384,110.07021,113.236374,110.19772,115.65888,116.3167,121.82837,125.28244,125.34931,129.22575,136.72023,140.98557,148.9985,163.18536,172.34767,178.2318,All tokens,57,87,"[INST]  
 QUESTION: How many of the bears are yellow?
OPTIONS:
0: 4
1: 3
2: 5
3: 6

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 1 ",1,2,Counting,"[INST]  
 QUESTION: How many of the bears are yellow?
OPTIONS:
0: 4
1: 3
2: 5
3: 6

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 0 ",0,2,Counting
2,52.130898,52.25439,52.888405,53.060932,53.40436,53.771717,54.44388,55.43949,56.843792,59.503765,62.393044,67.44312,71.12099,75.1809,74.54573,71.75789,79.623924,85.79188,92.07891,94.193886,90.03546,95.97492,95.06701,98.80599,102.038284,104.2268,104.6506,109.70227,110.663956,115.23682,124.20397,130.14162,133.97455,All tokens,12,16,"[INST]  
 QUESTION: How many people are wearing a red coat?
OPTIONS:
0: 3
1: 2
2: 1
3: 0

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 1 ",1,2,Counting,"[INST]  
 QUESTION: How many people are wearing a red coat?
OPTIONS:
0: 3
1: 2
2: 1
3: 0

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 3 ",3,2,Counting
3,47.435894,47.512566,47.847164,47.94431,48.16494,48.38059,48.756622,49.280567,50.019646,51.689938,53.457523,57.18553,61.792572,65.054,63.886215,60.941784,65.39593,69.25586,73.38973,73.98177,70.77325,75.00104,75.249725,77.50077,77.40386,79.126854,79.745094,84.3903,86.4824,90.885506,97.989876,101.76579,106.31548,All tokens,379,770,"[INST]  
 QUESTION: Is the bed beneath the dog?
OPTIONS:
0: yes
1: no

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 


Answer:  [/INST] 1 ",1,1,Spatial Relation,"[INST]  
 QUESTION: Is the bed beneath the dog?
OPTIONS:
0: yes
1: no

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 


Answer:  [/INST] 0 ",0,1,Spatial Relation
4,20.92575,20.97958,21.295748,21.354572,21.49022,21.625301,21.851894,22.13879,22.70043,23.878145,25.604443,28.837114,35.196125,38.590923,44.38167,48.84627,54.274696,59.03208,65.20938,69.04661,68.15826,67.4805,66.841194,68.90948,70.05632,72.20632,75.31301,78.80322,78.032715,82.16698,88.10779,92.958496,94.199905,All tokens,140,190,"[INST]  
 QUESTION: Which one picture follows the same pattern or rule established by the previous pictures?
OPTIONS:
0: Picture A
1: Picture B
2: Picture C
3: Picture D

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 1 ",1,2,IQ Test,"[INST]  
 QUESTION: Which one picture follows the same pattern or rule established by the previous pictures?
OPTIONS:
0: Picture A
1: Picture B
2: Picture C
3: Picture D

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 0 ",0,2,IQ Test
5,24.695784,24.736633,24.942245,24.976933,25.074947,25.136826,25.274282,25.453278,25.86654,26.796902,28.113016,30.686876,35.97269,38.863747,44.391113,48.580437,54.330887,58.479565,64.865265,68.88474,70.71866,70.75562,68.87039,70.760284,71.466034,73.78737,77.01696,81.268845,82.0879,87.5052,94.43602,98.98453,105.49089,All tokens,125,173,"[INST]  
 QUESTION: Which one picture follows the same pattern or rule established by the previous pictures?
OPTIONS:
0: Picture A
1: Picture B
2: Picture C
3: Picture D

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 1 ",1,2,IQ Test,"[INST]  
 QUESTION: Which one picture follows the same pattern or rule established by the previous pictures?
OPTIONS:
0: Picture A
1: Picture B
2: Picture C
3: Picture D

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 0 ",0,2,IQ Test
6,26.362753,26.428251,26.8153,26.891443,27.057148,27.22508,27.514149,27.935913,28.64656,30.130526,32.121315,35.752155,42.17045,45.803024,51.833748,56.180767,62.05057,65.86852,72.00007,75.991486,77.285034,78.42028,77.6877,80.60097,82.535774,85.38515,90.24603,94.454666,96.724335,102.32756,108.21781,111.41369,113.552086,All tokens,114,162,"[INST]  
 QUESTION: Which one picture follows the same pattern or rule established by the previous pictures?
OPTIONS:
0: Picture A
1: Picture B
2: Picture C
3: Picture D

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 1 ",1,1,IQ Test,"[INST]  
 QUESTION: Which one picture follows the same pattern or rule established by the previous pictures?
OPTIONS:
0: Picture A
1: Picture B
2: Picture C
3: Picture D

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 0 ",0,1,IQ Test
7,21.315422,21.365604,21.667145,21.720182,21.829176,21.934727,22.093195,22.317822,22.754429,23.892912,25.48904,28.935837,34.426643,37.761776,41.519962,43.146114,47.984768,52.005756,56.176582,58.757404,56.44176,56.271202,56.574596,56.253036,56.452797,57.195675,58.293312,60.51706,60.92923,62.13703,66.970474,71.89626,79.63634,All tokens,71,114,"[INST]  
 QUESTION: How many birds are facing the right of frame?
OPTIONS:
0: 3
1: 2
2: 0
3: 1

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 1 ",1,3,Counting,"[INST]  
 QUESTION: How many birds are facing the right of frame?
OPTIONS:
0: 3
1: 2
2: 0
3: 1

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 0 ",0,3,Counting
8,74.91433,75.02411,75.53279,75.68757,75.99395,76.30208,76.85748,77.59403,78.806114,81.106026,83.501076,88.66957,92.22277,96.03754,94.78018,89.10065,96.491196,102.47781,111.79125,115.74577,115.84488,122.83143,128.46704,134.33981,138.67984,142.26183,148.0577,156.69986,162.24484,170.69449,181.0552,188.63785,192.17294,All tokens,377,767,"[INST]  
 QUESTION: Is the bed touching the book?
OPTIONS:
0: yes
1: no

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 


Answer:  [/INST] 0 ",0,1,Spatial Relation,"[INST]  
 QUESTION: Is the bed touching the book?
OPTIONS:
0: yes
1: no

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 


Answer:  [/INST] 1 ",1,1,Spatial Relation
9,37.43614,37.53471,38.0437,38.185043,38.445274,38.759037,39.239193,39.927666,40.85527,42.90846,45.270363,48.740433,53.596535,57.217033,58.293423,57.34724,63.06906,67.29108,72.64253,75.12593,73.89581,77.099594,77.66585,80.50025,79.4465,81.44151,84.65585,88.522545,89.36888,89.91092,97.99566,102.14031,110.00941,All tokens,52,77,"[INST]  
 QUESTION: How many people are climbing on the wall?
OPTIONS:
0: 1
1: 3
2: 0
3: 2

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 2 ",2,2,Counting,"[INST]  
 QUESTION: How many people are climbing on the wall?
OPTIONS:
0: 1
1: 3
2: 0
3: 2

Answer with the correct option from 0 to 3. Only provide the numeric and nothing else 


Answer:  [/INST] 0 ",0,2,Counting
